,CCI,/cci_items/cci_item/definition,Note,Parameter,index
4072,CCI-000571,The organization's security plan for the information system is reviewed and approved by the authorizing official or designated representative prior to plan implementation.,,,PL-2 
4076,CCI-000572,The organization defines the frequency for reviewing the security plan for the information system.,,,PL-2 
4080,CCI-000573,The organization reviews the security plan for the information system in accordance with organization-defined frequency.,,,PL-2 
4084,CCI-000574,The organization updates the plan to address changes to the information system/environment of operation or problems identified during plan implementation or security control assessments.,,,PL-2 
4088,CCI-000576,"The organization develops a security Concept of Operations (CONOPS) for the information system containing, at a minimum: the purpose of the system; a description of the system architecture; the security authorization schedule; and the security categorization and associated factors considered in determining the categorization.",,,PL-2 (1) ()
4091,CCI-000577,The organization defines the frequency with which to review and update the security CONOPS.,,,PL-2 (1) ()
4095,CCI-000578,The organization reviews and updates the security CONOPS in accordance with organization-defined frequency.,,,PL-2 (1) ()
4099,CCI-000580,The organization develops a functional architecture for the information system that identifies and maintains external interfaces.,,,PL-2 (2) ()
4102,CCI-000581,The organization develops a functional architecture for the information system that identifies and maintains the information being exchanged across the interfaces.,,,PL-2 (2) ()
4105,CCI-000582,The organization develops a functional architecture for the information system that identifies and maintains the protection mechanisms associated with each interface.,,,PL-2 (2) ()
4108,CCI-000583,The organization develops a functional architecture for the information system that identifies and maintains user roles.,,,PL-2 (2) ()
4111,CCI-000584,The organization develops a functional architecture for the information system that identifies and maintains the access privileges assigned to each role.,,,PL-2 (2) ()
4114,CCI-000585,The organization develops a functional architecture for the information system that identifies and maintains unique security requirements.,,,PL-2 (2) ()
4117,CCI-000586,The organization develops a functional architecture for the information system that identifies and maintains types of information processed by the information system.,,,PL-2 (2) ()
4120,CCI-000587,The organization develops a functional architecture for the information system that identifies and maintains types of information stored by the information system.,,,PL-2 (2) ()
4123,CCI-000588,The organization develops a functional architecture for the information system that identifies and maintains types of information transmitted by the information system.,,,PL-2 (2) ()
4126,CCI-000589,"The organization develops a functional architecture for the information system that identifies and maintains any specific protection needs in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",,,PL-2 (2) ()
4129,CCI-000590,The organization develops a functional architecture for the information system that identifies and maintains restoration priority of information.,,,PL-2 (2) ()
4132,CCI-000591,The organization develops a functional architecture for the information system that identifies and maintains restoration priority of information system services.,,,PL-2 (2) ()
4135,CCI-001639,The organization makes readily available to individuals requiring access to the information system the rules that describe their responsibilities and expected behavior with regard to information and information system usage.,,,PL-4 
4139,CCI-000592,"The organization establishes the rules describing the responsibilities and expected behavior, with regard to information and information system usage, for individuals requiring access to the information system.",,,PL-4 
4143,CCI-000593,"The organization receives a signed acknowledgment from individuals requiring access to the information system, indicating that they have read, understand, and agree to abide by the rules of behavior, before authorizing access to information and the information system.",,,PL-4 
4147,CCI-000594,The organization includes in the rules of behavior explicit restrictions on the use of social media/networking sites.,,,PL-4 (1)
4151,CCI-000595,The organization includes in the rules of behavior explicit restrictions on posting organizational information on public websites.,,,PL-4 (1)
4155,CCI-000596,"The organization includes in the rules of behavior, explicit restrictions on sharing information system account information.",,,PL-4 (1)
4158,CCI-000597,The organization conducts a privacy impact assessment on the information system in accordance with OMB policy.,,,PL-5
4161,CCI-000598,"The organization plans and coordinates security-related activities affecting the information system before conducting such activities in order to reduce the impact on organizational operations (i.e., mission, functions, image, and reputation).",,,PL-6
4164,CCI-000599,The organization plans and coordinates security-related activities affecting the information system before conducting such activities in order to reduce the impact on organizational assets.,,,PL-6
4167,CCI-000600,The organization plans and coordinates security-related activities affecting the information system before conducting such activities in order to reduce the impact on organizational individuals.,,,PL-6
4170,CCI-001680,"The organization develops an organization-wide information security program plan that includes the identification and assignment of roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,PM-1 
4174,CCI-000023,"The organization develops an organization-wide information security program plan that provides sufficient information about the program management controls and common controls (including specification of parameters for any assignment and selection operations either explicitly or by reference) to enable an implementation that is unambiguously compliant with the intent of the plan, and a determination of the risk to be incurred if the plan is implemented as intended.",,,PM-1 
4177,CCI-000073,The organization develops an organization-wide information security program plan that provides an overview of the requirements for the security program and a description of the security program management controls and common controls in place or planned for meeting those requirements.,,,PM-1 
4181,CCI-000074,"The organization develops an organization-wide information security program plan that is approved by a senior official with responsibility and accountability for the risk being incurred to organizational operations (including mission, functions, image, and reputation), organizational assets, individuals, other organizations, and the Nation.",,,PM-1 
4185,CCI-000075,The organization reviews the organization-wide information security program plan on an organization-defined frequency.,,,PM-1 
4189,CCI-000076,The organization defines the frequency with which to review the organization-wide information security program plan.,,,PM-1 
4193,CCI-000077,The organization updates the plan to address organizational changes and problems identified during plan implementation or security control assessments.,,,PM-1 
4197,CCI-001543,"The organization disseminates the most recent information security program plan to appropriate entities in the organization that includes roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,PM-1 
4200,CCI-000229,The organization documents the security state of organizational information systems and the environments in which those systems operate through security authorization processes.,,,PM-10 
4204,CCI-000230,The organization tracks the security state of organizational information systems and the environments in which those systems operate through security authorization processes.,,,PM-10 
4208,CCI-000231,The organization reports the security state of organizational information systems and the environments in which those systems operate through security authorization processes.,,,PM-10 
4212,CCI-000233,The organization designates individuals to fulfill specific roles and responsibilities within the organizational risk management process.,,,PM-10 
4216,CCI-000234,The organization fully integrates the security authorization processes into an organization-wide risk management program.,,,PM-10 
4220,CCI-000235,"The organization defines mission/business processes with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation.",,,PM-11 
4224,CCI-000236,"The organization determines information protection needs arising from the defined mission/business processes and revises the processes as necessary, until an achievable set of protection needs are obtained.",,,PM-11 
4228,CCI-000078,"The organization appoints a senior information security officer with the mission and resources to coordinate, develop, implement, and maintain an organization-wide information security program.",,,PM-2
4232,CCI-000080,The organization ensures that all capital planning and investment requests include the resources needed to implement the information security program and documents all exceptions to this requirement.,,,PM-3 
4236,CCI-000081,The organization employs a business case/Exhibit 300/Exhibit 53 to record the resources required.,,,PM-3 
4240,CCI-000141,The organization ensures that information security resources are available for expenditure as planned.,,,PM-3 
4244,CCI-000142,The organization implements a process for ensuring that plans of action and milestones for the security program and the associated organizational information systems are maintained.,,,PM-4
4248,CCI-000170,"The organization implements a process for ensuring that plans of action and milestones for the security program and associated organizational information systems document the remedial information security actions to adequately respond to risk to organizational operations and assets, individuals, other organizations, and the Nation.",,,PM-4
4252,CCI-000207,The organization develops and maintains an inventory of its information systems.,,,PM-5
4256,CCI-000209,The organization develops the results of information security measures of performance.,,,PM-6
4260,CCI-000210,The organization monitors the results of information security measures of performance.,,,PM-6
4264,CCI-000211,The organization reports on the results of information security measures of performance.,,,PM-6
4268,CCI-000212,"The organization develops an enterprise architecture with consideration for information security and the resulting risk to organizational operations, organizational assets, individuals, other organizations, and the Nation.",,,PM-7
4272,CCI-001640,The organization updates the critical infrastructure and key resources protection plan that addresses information security issues.,,,PM-8
4276,CCI-000216,The organization develops and documents a critical infrastructure and key resource protection plan that addresses information security issues.,,,PM-8
4280,CCI-000227,"The organization develops a comprehensive strategy to manage risk to organizational operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems.",,,PM-9 
4284,CCI-000228,"The organization implements a comprehensive strategy to manage risk to organization operations and assets, individuals, other organizations, and the Nation associated with the operation and use of information systems consistently across the organization.",,,PM-9 
4288,CCI-001504,"The organization develops and documents a personnel security policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,PS-1 
4292,CCI-001505,The organization disseminates a personnel security policy to organization-defined personnel or roles.,,,PS-1 
4296,CCI-001506,The organization reviews and updates the current personnel security policy in accordance with organization-defined frequency.,,,PS-1 
4300,CCI-001507,The organization defines the frequency with which to review and update the current personnel security policy.,,,PS-1 
4304,CCI-001508,The organization defines the frequency with which to review and update the current personnel security procedures.,,,PS-1 
4308,CCI-001509,The organization develops and documents procedures to facilitate the implementation of the personnel security policy and associated personnel security controls.,,,PS-1 
4312,CCI-001510,The organization disseminates personnel security procedures to organization-defined personnel or roles.,,,PS-1 
4316,CCI-001511,The organization reviews and updates the current personnel security procedures in accordance with organization-defined frequency.,,,PS-1 
4320,CCI-001512,The organization assigns a risk designation to all organizational positions.,,,PS-2 
4324,CCI-001513,The organization establishes screening criteria for individuals filling organizational positions.,,,PS-2 
4328,CCI-001514,The organization reviews and updates position risk designations in accordance with organization-defined frequency.,,,PS-2 
4332,CCI-001515,The organization defines the frequency with which to review and update position risk designations.,,,PS-2 
4336,CCI-001516,The organization screens individuals prior to authorizing access to the information system.,,,PS-3 
4340,CCI-001517,"The organization rescreens individuals with authorized access to the information system according to organization-defined conditions requiring rescreening, and where rescreening is so indicated, on the organization-defined frequency of such rescreening.",,,PS-3 
4344,CCI-001518,The organization defines the conditions requiring rescreening of individuals with authorized access to the information system.,,,PS-3 
4348,CCI-001519,The organization defines the frequency for rescreening individuals with authorized access to the information system when organization-defined conditions requiring rescreening are met.,,,PS-3 
4352,CCI-001520,"The organization ensures that individuals accessing an information system processing, storing, or transmitting classified information are cleared and indoctrinated to the highest classification level of the information to which they have access on the system.",,,PS-3 (1)
4356,CCI-001521,"The organization ensures that individuals accessing an information system processing, storing, or transmitting types of classified information which require formal indoctrination, are formally indoctrinated for all of the relevant types of information to which they have access on the system.",,,PS-3 (2)
4360,CCI-001522,"The organization, upon termination of individual employment, disables information system access within an organization-defined time period.",,,PS-4 
4364,CCI-001523,"The organization, upon termination of individual employment, conducts exit interviews that include a discussion of organization-defined information security topics.",,,PS-4 
4368,CCI-001524,"The organization, upon termination of individual employment, retrieves all security-related organizational information system-related property.",,,PS-4 
4372,CCI-001525,"The organization, upon termination of individual employment, retains access to organizational information formerly controlled by the terminated individual.",,,PS-4 
4376,CCI-001526,"The organization, upon termination of individual employment, retains access to organizational information systems formerly controlled by the terminated individual.",,,PS-4 
4380,CCI-001527,The organization reviews and confirms the ongoing operational need for current logical and physical access authorizations to information systems/facilities when individuals are reassigned or transferred to other positions within the organization.,,,PS-5
4384,CCI-001528,The organization initiates organization-defined transfer or reassignment actions within an organization-defined time period following the formal personnel transfer action.,,,PS-5
4388,CCI-001529,The organization defines transfer or reassignment actions to initiate within an organization-defined time period following the formal personnel transfer action.,,,PS-5
4392,CCI-001530,The organization defines the time period within which the organization initiates organization-defined transfer or reassignment actions following the formal personnel transfer action.,,,PS-5
4396,CCI-001531,The organization ensures that individuals requiring access to organizational information and information systems sign appropriate access agreements prior to being granted access.,,,PS-6 
4400,CCI-001532,The organization reviews and updates access agreements for organizational information systems in accordance with organization-defined frequency.,,,PS-6 
4404,CCI-001533,The organization defines the frequency with which to review and update access agreements for organizational information systems.,,,PS-6 
4408,CCI-001534,The organization ensures that access to information with special protection measures is granted only to individuals who have a valid access authorization that is demonstrated by assigned official government duties.,,,PS-6 (1) ()
4411,CCI-001535,The organization ensures that access to information with special protection measures is granted only to individuals who satisfy associated personnel security criteria.,,,PS-6 (1) ()
4414,CCI-001536,The organization ensures that access to classified information requiring special protection is granted only to individuals who have a valid access authorization that is demonstrated by assigned official government duties.,,,PS-6 (2) ()
4418,CCI-001537,The organization ensures that access to classified information requiring special protection is granted only to individuals who satisfy associated personnel security criteria.,,,PS-6 (2) ()
4422,CCI-001538,"The organization ensures that access to classified information requiring special protection is granted only to individuals who have read, understood, and signed a nondisclosure agreement.",,,PS-6 (2) ()
4426,CCI-001539,The organization establishes personnel security requirements including security roles and responsibilities for third-party providers.,,,PS-7 
4430,CCI-001540,The organization documents personnel security requirements for third-party providers.,,,PS-7 
4434,CCI-001541,The organization monitors third-party provider compliance with personnel security requirements.,,,PS-7 
4438,CCI-001542,The organization employs a formal sanctions process for individuals failing to comply with established information security policies and procedures.,,,PS-8
4442,CCI-001037,"The organization develops and documents a risk assessment policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,RA-1 
4446,CCI-001038,"The organization disseminates a risk assessment policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance to organization-defined personnel or roles.",,,RA-1 
4450,CCI-001039,The organization reviews and updates the current risk assessment policy in accordance with organization-defined frequency.,,,RA-1 
4454,CCI-001040,The organization defines the frequency with which to review and update the current risk assessment policy.,,,RA-1 
4458,CCI-001041,The organization develops and documents procedures to facilitate the implementation of the risk assessment policy and associated risk assessment controls.,,,RA-1 
4462,CCI-001042,The organization disseminates risk assessment procedures to facilitate the implementation of the risk assessment policy and associated risk assessment controls to organization-defined personnel or roles.,,,RA-1 
4466,CCI-001043,The organization reviews and updates the current risk assessment procedures in accordance with organization-defined frequency.,,,RA-1 
4470,CCI-001044,The organization defines the frequency with which to review and update the current risk assessment procedures.,,,RA-1 
4474,CCI-001045,"The organization categorizes information and the information system in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance.",,,RA-2 
4478,CCI-001046,The organization documents the security categorization results (including supporting rationale) in the security plan for the information system.,,,RA-2 
4482,CCI-001047,The organization ensures the security categorization decision is reviewed and approved by the authorizing official or authorizing official designated representative.,,,RA-2 
4486,CCI-001642,"The organization defines the organizational document in which risk assessment results are documented (e.g., security plan, risk assessment report).",,,RA-3 
4490,CCI-001048,"The organization conducts an assessment of risk of the information system and the information it processes, stores, or transmits that includes the likelihood and magnitude of harm from the unauthorized access, use, disclosure, disruption, modification, or destruction.",,,RA-3 
4494,CCI-001049,The organization documents risk assessment results in the organization-defined document.,,,RA-3 
4498,CCI-001050,The organization reviews risk assessment results on an organization-defined frequency.,,,RA-3 
4502,CCI-001051,The organization defines a frequency for reviewing risk assessment results.,,,RA-3 
4506,CCI-001052,"The organization updates the risk assessment on an organization-defined frequency or whenever there are significant changes to the information system or environment of operation (including the identification of new threats and vulnerabilities), or other conditions that may impact the security state of the system.",,,RA-3 
4510,CCI-001053,The organization defines a frequency for updating the risk assessment.,,,RA-3 
4514,CCI-001641,The organization defines the process for conducting random vulnerability scans on the information system and hosted applications.,,,RA-5 
4518,CCI-001643,The organization scans for vulnerabilities in the information system and hosted applications in accordance with the organization-defined process for random scans.,,,RA-5 
4522,CCI-001644,"The organization employs vulnerability scanning procedures that can demonstrate the depth of coverage (i.e., vulnerabilities checked).",,,RA-5 (3)
4525,CCI-001645,The organization identifies the information system components to which privileged access is authorized for selected organization-defined vulnerability scanning activities.,,,RA-5 (5)
4529,CCI-001054,The organization scans for vulnerabilities in the information system and hosted applications on an organization-defined frequency.,,,RA-5 
4533,CCI-001055,The organization defines a frequency for scanning for vulnerabilities in the information system and hosted applications.,,,RA-5 
4537,CCI-001056,The organization scans for vulnerabilities in the information system and hosted applications when new vulnerabilities potentially affecting the system/applications are identified and reported.,,,RA-5 
4541,CCI-001057,"The organization employs vulnerability scanning tools and techniques that facilitate interoperability among tools and automate parts of the vulnerability management process by using standards for: enumerating platforms, software flaws, and improper configurations; formatting checklists and test procedures; and measuring vulnerability impact.",,,RA-5 
4545,CCI-001058,The organization analyzes vulnerability scan reports and results from security control assessments.,,,RA-5 
4549,CCI-001059,The organization remediates legitimate vulnerabilities in organization-defined response times in accordance with an organizational assessment risk.,,,RA-5 
4553,CCI-001060,The organization defines response times for remediating legitimate vulnerabilities in accordance with an organization assessment of risk.,,,RA-5 
4557,CCI-001061,"The organization shares information obtained from the vulnerability scanning process and security control assessments with organization-defined personnel or roles to help eliminate similar vulnerabilities in other information systems (i.e., systemic weaknesses or deficiencies).",,,RA-5 
4561,CCI-001062,The organization employs vulnerability scanning tools that include the capability to readily update the information system vulnerabilities to be scanned.,,,RA-5 (1)
4565,CCI-001063,"The organization updates the information system vulnerabilities scanned on an organization-defined frequency, prior to a new scan, and/or when new vulnerabilities are identified and reported.",,,RA-5 (2)
4569,CCI-001064,The organization defines a frequency for updating the information system vulnerabilities scanned.,,,RA-5 (2)
4573,CCI-001065,"The organization employs vulnerability scanning procedures that can demonstrate the breadth of coverage (i.e., information system components scanned).",,,RA-5 (3)
4576,CCI-001066,The organization determines what information about the information system is discoverable by adversaries.,,,RA-5 (4)
4580,CCI-001067,The information system implements privileged access authorization to organization-identified information system components for selected organization-defined vulnerability scanning activities.,,,RA-5 (5)
4584,CCI-001068,The organization employs automated mechanisms to compare the results of vulnerability scans over time to determine trends in information system vulnerabilities.,,,RA-5 (6)
4588,CCI-001069,The organization employs automated mechanisms to detect the presence of unauthorized software on organizational information systems and notify designated organizational officials in accordance with the organization-defined frequency.,,,RA-5 (7)
4591,CCI-001070,The organization defines a frequency for employing automated mechanisms to detect the presence of unauthorized software on organizational information systems and notify designated organizational officials.,,,RA-5 (7)
4594,CCI-001071,The organization reviews historic audit logs to determine if a vulnerability identified in the information system has been previously exploited.,,,RA-5 (8)
4598,CCI-001072,The organization employs an independent penetration agent or penetration team to conduct a vulnerability analysis on the information system.,,,RA-5 (9) ()
4601,CCI-001073,The organization employs an independent penetration agent or penetration team to perform penetration testing on the information system based on the vulnerability analysis to determine the exploitability of identified vulnerabilities.,,,RA-5 (9) ()
4604,CCI-000601,The organization defines the frequency with which to review and update the current system and services acquisition policy.,,,SA-1
4608,CCI-000602,"The organization develops and documents a system and services acquisition policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.",,,SA-1 
4612,CCI-000603,The organization disseminates to organization-defined personnel or roles a system and services acquisition policy.,,,SA-1 
4616,CCI-000604,The organization reviews and updates the current system and services acquisition policy in accordance with organization-defined frequency.,,,SA-1 
4620,CCI-000605,The organization develops and documents procedures to facilitate the implementation of the system and services acquisition policy and associated system and services acquisition controls.,,,SA-1 
4624,CCI-000606,The organization disseminates to organization-defined personnel or roles procedures to facilitate the implementation of the system and services acquisition policy and associated system and services acquisition controls.,,,SA-1 
4628,CCI-000607,The organization reviews and updates the current system and services acquisition procedures in accordance with organization-defined frequency.,,,SA-1 
4632,CCI-001650,The organization requires the information system developers to manage and control changes to the information system during development.,,,SA-10 ()
4635,CCI-001651,The organization requires the information system integrators to manage and control changes to the information system during development.,,,SA-10 ()
4638,CCI-001652,The organization requires the information system developers to manage and control changes to the information system during implementation.,,,SA-10 ()
4641,CCI-001653,The organization requires the information system integrators to manage and control changes to the information system during implementation.,,,SA-10 ()
4644,CCI-001654,The organization requires the information system developers to manage and control changes to the information system during modification.,,,SA-10 ()
4647,CCI-001655,The organization requires the information system integrators to manage and control changes to the information system during modification.,,,SA-10 ()
4650,CCI-000682,The organization requires information system developers to perform configuration management during information system design.,,,SA-10 ()
4653,CCI-000683,The organization requires information system developers to perform configuration management during information system development.,,,SA-10 ()
4656,CCI-000684,The organization requires information system developers to perform configuration management during information system implementation.,,,SA-10 ()
4659,CCI-000685,The organization requires information system developers to perform configuration management during information system operation.,,,SA-10 ()
4662,CCI-000686,The organization requires information system integrators to perform configuration management during information system design.,,,SA-10 ()
4665,CCI-000687,The organization requires information system integrators to perform configuration management during information system development.,,,SA-10 ()
4668,CCI-000688,The organization requires information system integrators to perform configuration management during information system implementation.,,,SA-10 ()
4671,CCI-000689,The organization requires information system integrators to perform configuration management during information system operation.,,,SA-10 ()
4674,CCI-000690,The organization requires information system developers to manage and control changes to the information system during design.,,,SA-10 ()
4677,CCI-000691,The organization requires information system integrators to manage and control changes to the information system during design.,,,SA-10 ()
4680,CCI-000692,"The organization requires the developer of the information system, system component, or information system service to implement only organization-approved changes to the system, component, or service.",,,SA-10 ()
4684,CCI-000693,The organization requires information system integrators to implement only organization-approved changes.,,,SA-10 ()
4687,CCI-000694,"The organization requires the developer of the information system, system component, or information system service to document approved changes to the system, component, or service.",,,SA-10 ()
4691,CCI-000695,The organization requires information system integrators to document approved changes to the information system.,,,SA-10 ()
4694,CCI-000696,The organization requires that information system developers track security flaws and flaw resolution.,,,SA-10 ()
4697,CCI-000697,The organization requires information system integrators to track security flaws and flaw resolution.,,,SA-10 ()
4700,CCI-000698,"The organization requires the developer of the information system, system component, or information system service to enable integrity verification of software and firmware components.",,,SA-10 (1)
4704,CCI-000699,The organization requires information system integrators to provide an integrity check of software to facilitate organizational verification of software integrity after delivery.,,,SA-10 (1)
4707,CCI-000700,The organization provides an alternate configuration management process using organizational personnel in the absence of a dedicated developer configuration management team.,,,SA-10 (2)
4711,CCI-000701,The organization provides an alternative configuration management process with organizational personnel in the absence of a dedicated integrator configuration management team.,,,SA-10 (2)
4714,CCI-000702,"The organization requires information system developers, in consultation with associated security personnel (including security engineers), to create a security test and evaluation plan.",,,SA-11 ()
4717,CCI-000703,"The organization requires information system developers, in consultation with associated security personnel (including security engineers), to implement a security test and evaluation plan.",,,SA-11 ()
4720,CCI-000704,"The organization requires information system integrators, in consultation with associated security personnel (including security engineers), to create a security test and evaluation plan.",,,SA-11 ()
4723,CCI-000705,"The organization requires information system integrators, in consultation with associated security personnel (including security engineers), to implement a security test and evaluation plan.",,,SA-11 ()
4726,CCI-000706,"The organization requires information system developers, in consultation with associated security personnel (including security engineers), to implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the security testing and evaluation process.",,,SA-11 ()
4729,CCI-000707,"The organization requires information system integrators, in consultation with associated security personnel (including security engineers), to implement a verifiable flaw remediation process to correct weaknesses and deficiencies identified during the security testing and evaluation process.",,,SA-11 ()
4732,CCI-000708,"The organization requires information system developers, in consultation with associated security personnel (including security engineers), to document the results of the security testing/evaluation processes.",,,SA-11 ()
4735,CCI-000709,"The organization requires information system developers, in consultation with associated security personnel (including security engineers), to document the results of the security flaw remediation processes.",,,SA-11 ()
4738,CCI-000710,"The organization requires information system integrators, in consultation with associated security personnel (including security engineers), to document the results of the security testing/evaluation processes.",,,SA-11 ()
4741,CCI-000711,"The organization requires information system integrators, in consultation with associated security personnel (including security engineers), to document the results of the security flaw remediation processes.",,,SA-11 ()
4744,CCI-000712,The organization requires information system developers to employ code analysis tools to examine software for common flaws and document the results of the analysis.,,,SA-11 (1)
4747,CCI-000713,The organization requires information system integrators to employ code analysis tools to examine software for common flaws and document the results of the analysis.,,,SA-11 (1)
4750,CCI-000714,The organization requires information system developers to perform a vulnerability analysis to document vulnerabilities.,,,SA-11 (2)
4753,CCI-000715,The organization requires information system developers to perform a vulnerability analysis to document exploitation potential.,,,SA-11 (2)
4756,CCI-000716,The organization requires information system developers to perform a vulnerability analysis to document risk mitigations.,,,SA-11 (2)
4759,CCI-000717,The organization requires information system integrators to perform a vulnerability analysis to document vulnerabilities.,,,SA-11 (2)
4762,CCI-000718,The organization requires information system integrators to perform a vulnerability analysis to document exploitation potential.,,,SA-11 (2)
4765,CCI-000719,The organization requires information system integrators perform a vulnerability analysis to document risk mitigations.,,,SA-11 (2)
4768,CCI-000720,The organization requires information system developers implement the security test and evaluation plan under the witness of an independent verification and validation agent.,,,SA-11 (3)
4771,CCI-000721,The organization requires information system integrators to implement the security test and evaluation plan under the witness of an independent verification and validation agent.,,,SA-11 (3)
4774,CCI-000722,"The organization defines the security safeguards to employ to protect against supply chain threats to the information system, system component, or information system service.",,,SA-12
4778,CCI-000723,"The organization protects against supply chain threats to the information system, system component, or information system service by employing organization-defined security safeguards as part of a comprehensive, defense-in-breadth information security strategy.",,,SA-12
4782,CCI-000724,The organization purchases all anticipated information system components and spares in the initial acquisition.,,,SA-12 (1)
4785,CCI-000725,The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system hardware.,,,SA-12 (2)
4788,CCI-000726,The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system software.,,,SA-12 (2)
4791,CCI-000727,The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system firmware.,,,SA-12 (2)
4794,CCI-000728,The organization conducts a due diligence review of suppliers prior to entering into contractual agreements to acquire information system services.,,,SA-12 (2)
4797,CCI-000729,The organization uses trusted shipping for information systems.,,,SA-12 (3)
4800,CCI-000730,The organization uses trusted shipping for information system components.,,,SA-12 (3)
4803,CCI-000731,The organization uses trusted shipping for information technology products.,,,SA-12 (3)
4806,CCI-000732,The organization uses trusted warehousing for information systems.,,,SA-12 (3)
4809,CCI-000733,The organization uses trusted warehousing for information system components.,,,SA-12 (3)
4812,CCI-000734,The organization uses trusted warehousing for information technology products.,,,SA-12 (3)
4815,CCI-000735,The organization employs a diverse set of suppliers for information systems.,,,SA-12 (4)
4818,CCI-000736,The organization employs a diverse set of suppliers for information system components.,,,SA-12 (4)
4821,CCI-000737,The organization employs a diverse set of suppliers for information technology products.,,,SA-12 (4)
4824,CCI-000738,The organization employs a diverse set of suppliers for information system services.,,,SA-12 (4)
4827,CCI-000739,The organization employs standard configurations for information systems.,,,SA-12 (5)
4830,CCI-000740,The organization employs standard configurations for information system components.,,,SA-12 (5)
4833,CCI-000741,The organization employs standard configurations for information technology products.,,,SA-12 (5)
4836,CCI-000742,The organization minimizes the time between purchase decisions and delivery of information systems.,,,SA-12 (6)
4839,CCI-000743,The organization minimizes the time between purchase decisions and delivery of information system components.,,,SA-12 (6)
4842,CCI-000744,The organization minimizes the time between purchase decisions and delivery of information technology products.,,,SA-12 (6)
4845,CCI-000745,The organization employs independent analysis and penetration testing against delivered information systems.,,,SA-12 (7)
4848,CCI-000746,The organization employs independent analysis and penetration testing against delivered information system components.,,,SA-12 (7)
4851,CCI-000747,The organization employs independent analysis and penetration testing against delivered information technology products.,,,SA-12 (7)
4854,CCI-000748,The organization defines level of trustworthiness for the information system.,,,SA-13
4857,CCI-000749,The organization requires that the information system meets the organization-defined level of trustworthiness.,,,SA-13
4860,CCI-000750,The organization defines the list of critical information system components that require re-implementation.,,,SA-14
4863,CCI-000751,The organization determines the organization-defined list of critical information system components that require re-implementation.,,,SA-14 
4866,CCI-000752,The organization re-implements organization-defined critical information system components.,,,SA-14 
4869,CCI-000753,The organization identifies information system components for which alternative sourcing is not viable.,,,SA-14 (1) ()
4872,CCI-000754,The organization defines measures to be employed to prevent critical security controls for information system components from being compromised.,,,SA-14 (1) ()
4875,CCI-000755,The organization employs organization-defined measures to ensure critical security controls for the information system components are not compromised.,,,SA-14 (1) ()
4878,CCI-001646,The organization defines the frequency with which to review and update the current system and services acquisition procedures.,,,SA-1
4882,CCI-000608,The organization includes a determination of information security requirements for the information system in mission process planning.,,,SA-2 
4885,CCI-000609,The organization includes a determination of information security requirements for the information system in business process planning.,,,SA-2 
4888,CCI-000610,The organization determines the resources required to protect the information system or information system service as part of its capital planning and investment control process.,,,SA-2 
4892,CCI-000611,The organization documents the resources required to protect the information system or information system service as part of its capital planning and investment control process.,,,SA-2 
4896,CCI-000612,The organization allocates the resources required to protect the information system or information system service as part of its capital planning and investment control process.,,,SA-2 
4900,CCI-000613,The organization establishes a discrete line item for information security in organizational programming documentation.,,,SA-2 
4904,CCI-000614,The organization establishes a discrete line item for information security in organizational budgeting documentation.,,,SA-2 
4908,CCI-000615,The organization manages the information system using an organization-defined system development life cycle that incorporates information security considerations.,,,SA-3 
4912,CCI-000616,The organization defines and documents information system security roles and responsibilities throughout the system development life cycle.,,,SA-3 
4916,CCI-000617,The organization documents information system security roles and responsibilities throughout the system development life cycle.,,,SA-3 
4919,CCI-000618,The organization identifies individuals having information system security roles and responsibilities.,,,SA-3 
4923,CCI-001647,"The organization requires the use of a FIPS-validated, cryptographic module for a technology product that relies on cryptographic functionality to enforce its security policy when no U.S. Government Protection Profile exists for such a specific technology type.",,,SA-4 (7) ()
4926,CCI-000619,"The organization includes security functional requirements/specifications, explicitly or by reference, in information system acquisition contracts based on an assessment of risk and in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.",,,SA-4 
4929,CCI-000620,"The organization includes security-related documentation requirements, explicitly or by reference, in information system acquisition contracts based on an assessment of risk and in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.",,,SA-4 
4932,CCI-000621,"The organization includes developmental and evaluation-related assurance requirements, explicitly or by reference, in information system acquisition contracts based on an assessment of risk and in accordance with applicable federal laws, Executive Orders, directives, policies, regulations, and standards.",,,SA-4 
