,FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,DESCRIPTION,SUPPLEMENTAL GUIDANCE,RELATED,ccis
179,ACCESS CONTROL,AC-18 (3),DISABLE WIRELESS NETWORKING,,,"The organization disables, when not intended for use, wireless networking capabilities internally embedded within information system components prior to issuance and deployment.",,AC-19,"CCI-001449 The organization disables, when not intended for use, wireless networking capabilities internally embedded within information system components prior to issuance and deployment."
180,ACCESS CONTROL,AC-18 (4),RESTRICT CONFIGURATIONS BY USERS,,HIGH,The organization identifies and explicitly authorizes users allowed to independently configure wireless networking capabilities.,"Organizational authorizations to allow selected users to configure wireless networking capability are enforced in part, by the access enforcement mechanisms employed within organizational information systems.","AC-3,SC-15",CCI-001450 The organization does not allow users to independently configure wireless networking capabilities. CCI-002324 The organization identifies and explicitly authorizes users allowed to independently configure wireless networking capabilities.
181,ACCESS CONTROL,AC-18 (5),ANTENNAS / TRANSMISSION POWER LEVELS,,HIGH,The organization selects radio antennas and calibrates transmission power levels to reduce the probability that usable signals can be received outside of organization-controlled boundaries.,"Actions that may be taken by organizations to limit unauthorized use of wireless communications outside of organization-controlled boundaries include, for example: (i) reducing the power of wireless transmissions so that the transmissions are less likely to emit a signal that can be used by adversaries outside of the physical perimeters of organizations; (ii) employing measures such as TEMPEST to control wireless emanations; and (iii) using directional/beam forming antennas that reduce the likelihood that unintended receivers will be able to intercept signals. Prior to taking such actions, organizations can conduct periodic wireless surveys to understand the radio frequency profile of organizational information systems as well as other systems that may be operating in the area.",PE-19,CCI-001451 The organization selects radio antennas and calibrates transmission power levels to reduce the probability that usable signals can be received outside of organization-controlled boundaries.
182,ACCESS CONTROL,AC-19,ACCESS CONTROL FOR MOBILE DEVICES,P1,"LOW,MODERATE,HIGH",The organization:,"A mobile device is a computing device that: (i) has a small form factor such that it can easily be carried by a single individual; (ii) is designed to operate without a physical connection (e.g., wirelessly transmit or receive information); (iii) possesses local, non-removable or removable data storage; and (iv) includes a self-contained power source. Mobile devices may also include voice communication capabilities, on-board sensors that allow the device to capture information, and/or built-in features for synchronizing local data with remote locations. Examples include smart phones, E-readers, and tablets. Mobile devices are typically associated with a single individual and the device is usually in close proximity to the individual; however, the degree of proximity can vary depending upon on the form factor and size of the device. The processing, storage, and transmission capability of the mobile device may be comparable to or merely a subset of desktop systems, depending upon the nature and intended purpose of the device. Due to the large variety of mobile devices with different technical characteristics and capabilities, organizational restrictions may vary for the different classes/types of such devices. Usage restrictions and specific implementation guidance for mobile devices include, for example, configuration management, device identification and authentication, implementation of mandatory protective software (e.g., malicious code detection, firewall), scanning devices for malicious code, updating virus protection software, scanning for critical software updates and patches, conducting primary operating system (and possibly other resident software) integrity checks, and disabling unnecessary hardware (e.g., wireless, infrared). Organizations are cautioned that the need to provide adequate security for mobile devices goes beyond the requirements in this control. Many safeguards and countermeasures for mobile devices are reflected in other security controls in the catalog allocated in the initial control baselines as starting points for the development of security plans and overlays using the tailoring process. There may also be some degree of overlap in the requirements articulated by the security controls within the different families of controls. AC-20 addresses mobile devices that are not organization-controlled.","AC-3,AC-7,AC-18,AC-20,CA-9,CM-2,IA-2,IA-3,MP-2,MP-4,MP-5,PL-4,SC-7,SC-43,SI-3,SI-4",CCI-000082 The organization establishes usage restrictions for organization-controlled mobile devices. CCI-000083 The organization establishes implementation guidance for organization-controlled mobile devices. CCI-000084 The organization authorizes connection of mobile devices to organizational information systems. CCI-000085 The organization monitors for unauthorized connections of mobile devices to organizational information systems. CCI-000086 The organization enforces requirements for the connection of mobile devices to organizational information systems. CCI-000087 The organization disables information system functionality that provides the capability for automatic execution of code on mobile devices without user direction. CCI-000088 The organization issues specially configured mobile devices to individuals traveling to locations that the organization deems to be of significant risk in accordance with organizational policies and procedures. CCI-000089 The organization applies organization-defined inspection and preventative measures to mobile devices returning from locations that the organization deems to be of significant risk in accordance with organizational policies and procedures. CCI-001456 The organization defines locations that the organization deems to be of significant risk in accordance with organizational policies and procedures. CCI-001457 The organization defines inspection and preventative measures to be applied on mobile devices returning from locations that the organization deems to be of significant risk in accordance with organizational policies and procedures. CCI-002325 The organization establishes configuration requirements for organization-controlled mobile devices. CCI-002326 The organization establishes connection requirements for organization-controlled mobile devices.
185,ACCESS CONTROL,AC-19 (1),USE OF  WRITABLE / PORTABLE STORAGE DEVICES,,,[Withdrawn: Incorporated into MP-7].,,,"CCI-000090 The organization restricts the use of writable, removable media in organizational information systems."
186,ACCESS CONTROL,AC-19 (2),USE OF PERSONALLY OWNED PORTABLE STORAGE DEVICES,,,[Withdrawn: Incorporated into MP-7].,,,"CCI-000091 The organization prohibits the use of personally-owned, removable media in organizational information systems."
187,ACCESS CONTROL,AC-19 (3),USE OF PORTABLE STORAGE DEVICES WITH NO IDENTIFIABLE OWNER,,,[Withdrawn: Incorporated into MP-7].,,,CCI-000092 The organization prohibits the use of removable media in organizational information systems when the media has no identifiable owner.
188,ACCESS CONTROL,AC-19 (4),RESTRICTIONS FOR CLASSIFIED INFORMATION,,,The organization:,,"CA-6,IR-4",
196,ACCESS CONTROL,AC-19 (5),FULL DEVICE / CONTAINER-BASED  ENCRYPTION,,"MODERATE,HIGH",The organization employs [Selection: full-device encryption; container encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].,"Container-based encryption provides a more fine-grained approach to the encryption of data/information on mobile devices, including for example, encrypting selected data structures such as files, records, or fields.","MP-5,SC-13,SC-28",CCI-002329 The organization defines the mobile devices that are to employ full-device or container encryption to protect the confidentiality and integrity of the information on the device. CCI-002330 The organization employs full-device encryption or container encryption to protect the confidentiality of information on organization-defined mobile devices. CCI-002331 The organization employs full-device encryption or container encryption to protect the integrity of information on organization-defined mobile devices.
197,ACCESS CONTROL,AC-20,USE OF EXTERNAL INFORMATION SYSTEMS,P1,"LOW,MODERATE,HIGH","The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to:","External information systems are information systems or components of information systems that are outside of the authorization boundary established by organizations and for which organizations typically have no direct supervision and authority over the application of required security controls or the assessment of control effectiveness. External information systems include, for example: (i) personally owned information systems/devices (e.g., notebook computers, smart phones, tablets, personal digital assistants); (ii) privately owned computing and communications devices resident in commercial or public facilities (e.g., hotels, train stations, convention centers, shopping malls, or airports); (iii) information systems owned or controlled by nonfederal governmental organizations; and (iv) federal information systems that are not owned by, operated by, or under the direct supervision and authority of organizations. This control also addresses the use of external information systems for the processing, storage, or transmission of organizational information, including, for example, accessing cloud services (e.g., infrastructure as a service, platform as a service, or software as a service) from organizational information systems. For some external information systems (i.e., information systems operated by other federal agencies, including organizations subordinate to those agencies), the trust relationships that have been established between those organizations and the originating organization may be such, that no explicit terms and conditions are required. Information systems within these organizations would not be considered external. These situations occur when, for example, there are pre-existing sharing/trust agreements (either implicit or explicit) established between federal agencies or organizations subordinate to those agencies, or when such trust agreements are specified by applicable laws, Executive Orders, directives, or policies. Authorized individuals include, for example, organizational personnel, contractors, or other individuals with authorized access to organizational information systems and over which organizations have the authority to impose rules of behavior with regard to system access. Restrictions that organizations impose on authorized individuals need not be uniform, as those restrictions may vary depending upon the trust relationships between organizations. Therefore, organizations may choose to impose different security restrictions on contractors than on state, local, or tribal governments. This control does not apply to the use of external information systems to access public interfaces to organizational information systems (e.g., individuals accessing federal information through www.usa.gov). Organizations establish terms and conditions for the use of external information systems in accordance with organizational security policies and procedures. Terms and conditions address as a minimum: types of applications that can be accessed on organizational information systems from external information systems; and the highest security category of information that can be processed, stored, or transmitted on external information systems. If terms and conditions with the owners of external information systems cannot be established, organizations may impose restrictions on organizational personnel using those external systems.","AC-3,AC-17,AC-19,CA-3,PL-4,SA-9","CCI-000093 The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to access the information system from the external information systems. CCI-000094 The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to process organization-controlled information using the external information systems. CCI-001465 The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to store organization-controlled information using the external information systems. CCI-001466 The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to transmit organization-controlled information using the external information systems. CCI-002332 The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to process, store, or transmit organization-controlled information using the external information systems."
200,ACCESS CONTROL,AC-20 (1),LIMITS ON AUTHORIZED USE,,"MODERATE,HIGH","The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization:","This control enhancement recognizes that there are circumstances where individuals using external information systems (e.g., contractors, coalition partners) need to access organizational information systems. In those situations, organizations need confidence that the external information systems contain the necessary security safeguards (i.e., security controls), so as not to compromise, damage, or otherwise harm organizational information systems. Verification that the required security controls have been implemented can be achieved, for example, by third-party, independent assessments, attestations, or other means, depending on the confidence level required by organizations.",CA-2,
203,ACCESS CONTROL,AC-20 (2),PORTABLE STORAGE DEVICES,,"MODERATE,HIGH",The organization [Selection: restricts; prohibits] the use of organization-controlled portable storage devices by authorized individuals on external information systems.,"Limits on the use of organization-controlled portable storage devices in external information systems include, for example, complete prohibition of the use of such devices or restrictions on how the devices may be used and under what conditions the devices may be used.",,CCI-000097 The organization restricts or prohibits the use of organization-controlled portable storage devices by authorized individuals on external information systems.
204,ACCESS CONTROL,AC-20 (3),NON-ORGANIZATIONALLY OWNED SYSTEMS / COMPONENTS / DEVICES,,,"The organization [Selection: restricts; prohibits] the use of non-organizationally owned information systems, system components, or devices to process, store, or transmit organizational information.","Non-organizationally owned devices include devices owned by other organizations (e.g., federal/state agencies, contractors) and personally owned devices. There are risks to using non-organizationally owned devices. In some cases, the risk is sufficiently high as to prohibit such use. In other cases, it may be such that the use of non-organizationally owned devices is allowed but restricted in some way. Restrictions include, for example: (i) requiring the implementation of organization-approved security controls prior to authorizing such connections; (ii) limiting access to certain types of information, services, or applications; (iii) using virtualization techniques to limit processing and storage activities to servers or other system components provisioned by the organization; and (iv) agreeing to terms and conditions for usage. For personally owned devices, organizations consult with the Office of the General Counsel regarding legal issues associated with using such devices in operational environments, including, for example, requirements for conducting forensic analyses during investigations after an incident.",,"CCI-002338 The organization restricts or prohibits the use of non-organizationally owned information systems, system components, or devices to process, store, or transmit organizational information."
205,ACCESS CONTROL,AC-20 (4),NETWORK ACCESSIBLE STORAGE DEVICES,,,The organization prohibits the use of [Assignment: organization-defined network accessible storage devices] in external information systems.,"Network accessible storage devices in external information systems include, for example, online storage devices in public, hybrid, or community cloud-based systems.",,CCI-002339 The organization defines the network accessible storage devices that are to be prohibited from being used in external information systems. CCI-002340 The organization prohibits the use of organization-defined network accessible storage devices in external information systems.
206,ACCESS CONTROL,AC-21,INFORMATION SHARING,P2,"MODERATE,HIGH",The organization:,"This control applies to information that may be restricted in some manner (e.g., privileged medical information, contract-sensitive information, proprietary information, personally identifiable information, classified information related to special access programs or compartments) based on some formal or administrative determination. Depending on the particular information-sharing circumstances, sharing partners may be defined at the individual, group, or organizational level. Information may be defined by content, type, security category, or special access program/compartment.",AC-3,CCI-000098 The organization facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for organization-defined information circumstances where user discretion is required. CCI-001470 The organization defines information sharing circumstances where user discretion is required. CCI-001471 The organization employs organization-defined automated mechanisms or manual processes required to assist users in making information sharing/collaboration decisions. CCI-001472 The organization defines the automated mechanisms or manual processes required to assist users in making information sharing/collaboration decisions.
209,ACCESS CONTROL,AC-21 (1),AUTOMATED DECISION SUPPORT,,,The information system enforces information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared.,,,CCI-000099 The information system enforces information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared.
210,ACCESS CONTROL,AC-21 (2),INFORMATION SEARCH AND RETRIEVAL,,,The information system implements information search and retrieval services that enforce [Assignment: organization-defined information sharing restrictions].,,,CCI-002341 The organization defines the information sharing restrictions to be enforced by the information system for information search and retrieval services. CCI-002342 The information system implements information search and retrieval services that enforce organization-defined information sharing restrictions.
211,ACCESS CONTROL,AC-22,PUBLICLY ACCESSIBLE CONTENT,P3,"LOW,MODERATE,HIGH",The organization:,"In accordance with federal laws, Executive Orders, directives, policies, regulations, standards, and/or guidance, the general public is not authorized access to nonpublic information (e.g., information protected under the Privacy Act and proprietary information). This control addresses information systems that are controlled by the organization and accessible to the general public, typically without identification or authentication. The posting of information on non-organization information systems is covered by organizational policy.","AC-3,AC-4,AT-2,AT-3,AU-13","CCI-001473 The organization designates individuals authorized to post information onto a publicly accessible information system. CCI-001474 The organization trains authorized individuals to ensure that publicly accessible information does not contain nonpublic information. CCI-001475 The organization reviews the proposed content of information prior to posting onto the publicly accessible information system to ensure that nonpublic information is not included. CCI-001476 The organization reviews the content on the publicly accessible information system for nonpublic information on an organization-defined frequency. CCI-001477 The organization defines a frequency for reviewing the content on the publicly accessible information system for nonpublic information. CCI-001478 The organization removes nonpublic information from the publicly accessible information system, if discovered."
216,ACCESS CONTROL,AC-23,DATA MINING PROTECTION,P0,,The organization employs [Assignment: organization-defined data mining prevention and detection techniques] for [Assignment: organization-defined data storage objects] to adequately detect and protect against data mining.,"Data storage objects include, for example, databases, database records, and database fields. Data mining prevention and detection techniques include, for example: (i) limiting the types of responses provided to database queries; (ii) limiting the number/frequency of database queries to increase the work factor needed to determine the contents of such databases; and (iii) notifying organizational personnel when atypical database queries or accesses occur. This control focuses on the protection of organizational information from data mining while such information resides in organizational data stores. In contrast, AU-13 focuses on monitoring for organizational information that may have been mined or otherwise obtained from data stores and is now available as open source information residing on external sites, for example, through social networking or social media websites.",,CCI-002343 The organization defines the data mining prevention techniques to be employed to adequately protect organization-defined data storage objects against data mining. CCI-002344 The organization defines the data mining detection techniques to be employed to adequately detect data mining attempts against organization-defined data storage objects. CCI-002345 The organization defines the data storage objects that are to be protected against data mining attempts. CCI-002346 The organization employs organization-defined data mining prevention techniques for organization-defined data storage objects to adequately protect against data mining. CCI-002347 The organization employs organization-defined data mining detection techniques for organization-defined data storage objects to adequately detect data mining attempts.
217,ACCESS CONTROL,AC-24,ACCESS CONTROL DECISIONS,P0,,The organization establishes procedures to ensure [Assignment: organization-defined access control decisions] are applied to each access request prior to access enforcement.,"Access control decisions (also known as authorization decisions) occur when authorization information is applied to specific accesses. In contrast, access enforcement occurs when information systems enforce access control decisions. While it is very common to have access control decisions and access enforcement implemented by the same entity, it is not required and it is not always an optimal implementation choice. For some architectures and distributed information systems, different entities may perform access control decisions and access enforcement.",,CCI-002348 The organization defines the access control decisions that are to be applied to each access request prior to access enforcement. CCI-002349 The organization establishes procedures to ensure organization-defined access control decisions are applied to each access request prior to access enforcement.
218,ACCESS CONTROL,AC-24 (1),TRANSMIT ACCESS AUTHORIZATION INFORMATION,,,The information system transmits [Assignment: organization-defined access authorization information] using [Assignment: organization-defined security safeguards] to [Assignment: organization-defined information systems] that enforce access control decisions.,"In distributed information systems, authorization processes and access control decisions may occur in separate parts of the systems. In such instances, authorization information is transmitted securely so timely access control decisions can be enforced at the appropriate locations. To support the access control decisions, it may be necessary to transmit as part of the access authorization information, supporting security attributes. This is due to the fact that in distributed information systems, there are various access control decisions that need to be made and different entities (e.g., services) make these decisions in a serial fashion, each requiring some security attributes to make the decisions. Protecting access authorization information (i.e., access control decisions) ensures that such information cannot be altered, spoofed, or otherwise compromised during transmission.",,CCI-002350 The organization defines the access authorization information that is to be transmitted using organization-defined security safeguards to organization-defined information systems that enforce access control decisions. CCI-002351 The organization defines the security safeguards to be employed when transmitting organization-defined access authorization information to organization-defined information systems that enforce access control decisions. CCI-002352 The organization defines the information systems that are to be recipients of organization-defined access authorization information using organization-defined security safeguards. CCI-002353 The information system transmits organization-defined access authorization information using organization-defined security safeguards to organization-defined information systems which enforce access control decisions.
219,ACCESS CONTROL,AC-24 (2),NO USER OR PROCESS IDENTITY,,,The information system enforces access control decisions based on [Assignment: organization-defined security attributes] that do not include the identity of the user or process acting on behalf of the user.,"In certain situations, it is important that access control decisions can be made without information regarding the identity of the users issuing the requests. These are generally instances where preserving individual privacy is of paramount importance. In other situations, user identification information is simply not needed for access control decisions and, especially in the case of distributed information systems, transmitting such information with the needed degree of assurance may be very expensive or difficult to accomplish.",,"CCI-002354 The organization defines the security attributes, not to include the identity of the user or process acting on behalf of the user, to be used as the basis for enforcing access control decisions. CCI-002355 The information system enforces access control decisions based on organization-defined security attributes that do not include the identity of the user or process acting on behalf of the user."
220,ACCESS CONTROL,AC-25,REFERENCE MONITOR,P0,,"The information system implements a reference monitor for [Assignment: organization-defined access control policies] that is tamperproof, always invoked, and small enough to be subject to analysis and testing, the completeness of which can be assured.","Information is represented internally within information systems using abstractions known as data structures. Internal data structures can represent different types of entities, both active and passive. Active entities, also known as subjects, are typically associated with individuals, devices, or processes acting on behalf of individuals. Passive entities, also known as objects, are typically associated with data structures such as records, buffers, tables, files, inter-process pipes, and communications ports. Reference monitors typically enforce mandatory access control policies???a type of access control that restricts access to objects based on the identity of subjects or groups to which the subjects belong. The access controls are mandatory because subjects with certain privileges (i.e., access permissions) are restricted from passing those privileges on to any other subjects, either directly or indirectly???that is, the information system strictly enforces the access control policy based on the rule set established by the policy. The tamperproof property of the reference monitor prevents adversaries from compromising the functioning of the mechanism. The always invoked property prevents adversaries from bypassing the mechanism and hence violating the security policy. The smallness property helps to ensure the completeness in the analysis and testing of the mechanism to detect weaknesses or deficiencies (i.e., latent flaws) that would prevent the enforcement of the security policy.","AC-3,AC-16,SC-3,SC-39","CCI-002356 The organization defines the access control policies to be implemented by the information system's reference monitor. CCI-002357 The information system implements a reference monitor for organization-defined access control policies that is tamperproof. CCI-002358 The information system implements a reference monitor for organization-defined access control policies that is always invoked. CCI-002359 The information system implements a reference monitor for organization-defined access control policies that is small enough to be subject to analysis and testing, the completeness of which can be assured."
221,AWARENESS AND TRAINING,AT-1,SECURITY AWARENESS AND TRAINING POLICY AND PROCEDURES,P1,"LOW,MODERATE,HIGH",The organization:,"This control addresses the establishment of policy and procedures for the effective implementation of selected security controls and control enhancements in the AT family. Policy and procedures reflect applicable federal laws, Executive Orders, directives, regulations, policies, standards, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems, if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.",PM-9,"CCI-001564 The organization defines the frequency of security awareness and training policy reviews and updates. CCI-001565 The organization defines the frequency of security awareness and training procedure reviews and updates. CCI-000100 The organization develops and documents a security awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance. CCI-000101 The organization disseminates a security awareness and training policy to organization-defined personnel or roles. CCI-000102 The organization reviews and updates the current security awareness and training policy in accordance with organization-defined frequency. CCI-000103 The organization develops and documents procedures to facilitate the implementation of the security awareness and training policy and associated security awareness and training controls. CCI-000104 The organization disseminates security awareness and training procedures to organization-defined personnel or roles. CCI-000105 The organization reviews and updates the current security awareness and training procedures in accordance with an organization-defined frequency."
228,AWARENESS AND TRAINING,AT-2,SECURITY AWARENESS TRAINING,P1,"LOW,MODERATE,HIGH","The organization provides basic security awareness training to information system users (including managers, senior executives, and contractors):","Organizations determine the appropriate content of security awareness training and security awareness techniques based on the specific organizational requirements and the information systems to which personnel have authorized access. The content includes a basic understanding of the need for information security and user actions to maintain security and to respond to suspected security incidents. The content also addresses awareness of the need for operations security. Security awareness techniques can include, for example, displaying posters, offering supplies inscribed with security reminders, generating email advisories/notices from senior organizational officials, displaying logon screen messages, and conducting information security awareness events.","AT-3,AT-4,PL-4","CCI-000106 The organization provides basic security awareness training to information system users (including managers, senior executives, and contractors) as part of initial training for new users. CCI-000112 The organization provides basic security awareness training to information system users (including managers, senior executives, and contractors) when required by information system changes. CCI-001479 The organization provides refresher security awareness training to all information system users (including managers, senior executives, and contractors) in accordance with the organization-defined frequency. CCI-001480 The organization defines the frequency for providing refresher security awareness training to all information system users (including managers, senior executives, and contractors)."
232,AWARENESS AND TRAINING,AT-2 (1),PRACTICAL EXERCISES,,,The organization includes practical exercises in security awareness training that simulate actual cyber attacks.,"Practical exercises may include, for example, no-notice social engineering attempts to collect information, gain unauthorized access, or simulate the adverse impact of opening malicious email attachments or invoking, via spear phishing attacks, malicious web links.","CA-2,CA-7,CP-4,IR-3",CCI-000107 The organization includes practical exercises in security awareness training that simulate actual cyber attacks.
233,AWARENESS AND TRAINING,AT-2 (2),INSIDER THREAT,,"MODERATE,HIGH",The organization includes security awareness training on recognizing and reporting potential indicators of insider threat.,"Potential indicators and possible precursors of insider threat can include behaviors such as inordinate, long-term job dissatisfaction, attempts to gain access to information not required for job performance, unexplained access to financial resources, bullying or sexual harassment of fellow employees, workplace violence, and other serious violations of organizational policies, procedures, directives, rules, or practices. Security awareness training includes how to communicate employee and management concerns regarding potential indicators of insider threat through appropriate organizational channels in accordance with established organizational policies and procedures.","PL-4,PM-12,PS-3,PS-6",CCI-002055 The organization includes security awareness training on recognizing and reporting potential indicators of insider threat.
234,AWARENESS AND TRAINING,AT-3,ROLE-BASED SECURITY TRAINING,P1,"LOW,MODERATE,HIGH",The organization provides role-based security training to personnel with assigned security roles and responsibilities:,"Organizations determine the appropriate content of security training based on the assigned roles and responsibilities of individuals and the specific security requirements of organizations and the information systems to which personnel have authorized access. In addition, organizations provide enterprise architects, information system developers, software developers, acquisition/procurement officials, information system managers, system/network administrators, personnel conducting configuration management and auditing activities, personnel performing independent verification and validation activities, security control assessors, and other personnel having access to system-level software, adequate security-related technical training specifically tailored for their assigned duties. Comprehensive role-based training addresses management, operational, and technical roles and responsibilities covering physical, personnel, and technical safeguards and countermeasures. Such training can include for example, policies, procedures, tools, and artifacts for the organizational security roles defined. Organizations also provide the training necessary for individuals to carry out their responsibilities related to operations and supply chain security within the context of organizational information security programs. Role-based security training also applies to contractors providing services to federal agencies.","AT-2,AT-4,PL-4,PS-7,SA-3,SA-12,SA-16",CCI-000108 The organization provides role-based security training to personnel with assigned security roles and responsibilities before authorizing access to the information system or performing assigned duties. CCI-000109 The organization provides role-based security training to personnel with assigned security roles and responsibilities when required by information system changes. CCI-000110 The organization provides refresher role-based security training to personnel with assigned security roles and responsibilities in accordance with organization-defined frequency. CCI-000111 The organization defines a frequency for providing refresher role-based security training.
238,AWARENESS AND TRAINING,AT-3 (1),ENVIRONMENTAL CONTROLS,,,The organization provides [Assignment: organization-defined personnel or roles] with initial and [Assignment: organization-defined frequency] training in the employment and operation of environmental controls.,"Environmental controls include, for example, fire suppression and detection devices/systems, sprinkler systems, handheld fire extinguishers, fixed fire hoses, smoke detectors, temperature/humidity, HVAC, and power within the facility. Organizations identify personnel with specific roles and responsibilities associated with environmental controls requiring specialized training.","PE-1,PE-13,PE-14,PE-15",CCI-001481 The organization provides organization-defined personnel or roles with initial training in the employment and operation of environmental controls. CCI-001482 The organization provides organization-defined personnel or roles with refresher training in the employment and operation of environmental controls in accordance with the organization-defined frequency. CCI-001483 The organization defines a frequency for providing employees with refresher training in the employment and operation of environmental controls. CCI-002050 The organization defines the personnel or roles to whom initial and refresher training in the employment and operation of environmental controls is to be provided.
239,AWARENESS AND TRAINING,AT-3 (2),PHYSICAL SECURITY CONTROLS,,,The organization provides [Assignment: organization-defined personnel or roles] with initial and [Assignment: organization-defined frequency] training in the employment and operation of physical security controls.,"Physical security controls include, for example, physical access control devices, physical intrusion alarms, monitoring/surveillance equipment, and security guards (deployment and operating procedures). Organizations identify personnel with specific roles and responsibilities associated with physical security controls requiring specialized training.","PE-2,PE-3,PE-4,PE-5",CCI-001566 The organization provides organization-defined personnel or roles with initial training in the employment and operation of physical security controls. CCI-001567 The organization provides organization-defined personnel or roles with refresher training in the employment and operation of physical security controls in accordance with the organization-defined frequency. CCI-001568 The organization defines a frequency for providing employees with refresher training in the employment and operation of physical security controls. CCI-002051 The organization defines the personnel or roles to whom initial and refresher training in the employment and operation of physical security controls is to be provided.
240,AWARENESS AND TRAINING,AT-3 (3),PRACTICAL EXERCISES,,,The organization includes practical exercises in security training that reinforce training objectives.,"Practical exercises may include, for example, security training for software developers that includes simulated cyber attacks exploiting common software vulnerabilities (e.g., buffer overflows), or spear/whale phishing attacks targeted at senior leaders/executives. These types of practical exercises help developers better understand the effects of such vulnerabilities and appreciate the need for security coding standards and processes.",,CCI-002052 The organization includes practical exercises in security training that reinforce training objectives.
241,AWARENESS AND TRAINING,AT-3 (4),SUSPICIOUS COMMUNICATIONS AND ANOMALOUS SYSTEM BEHAVIOR,,,The organization provides training to its personnel on [Assignment: organization-defined indicators of malicious code] to recognize suspicious communications and anomalous behavior in organizational information systems.,"A well-trained workforce provides another organizational safeguard that can be employed as part of a defense-in-depth strategy to protect organizations against malicious code coming in to organizations via email or the web applications. Personnel are trained to look for indications of potentially suspicious email (e.g., receiving an unexpected email, receiving an email containing strange or poor grammar, or receiving an email from an unfamiliar sender but who appears to be from a known sponsor or contractor). Personnel are also trained on how to respond to such suspicious email or web communications (e.g., not opening attachments, not clicking on embedded web links, and checking the source of email addresses). For this process to work effectively, all organizational personnel are trained and made aware of what constitutes suspicious communications. Training personnel on how to recognize anomalous behaviors in organizational information systems can potentially provide early warning for the presence of malicious code. Recognition of such anomalous behavior by organizational personnel can supplement automated malicious code detection and protection tools and systems employed by organizations.",,CCI-002053 The organization provides training to its personnel on organization-defined indicators of malicious code to recognize suspicious communications and anomalous behavior in organizational information systems. CCI-002054 The organization defines indicators of malicious code to recognize suspicious communications and anomalous behavior in organizational information systems.
242,AWARENESS AND TRAINING,AT-4,SECURITY TRAINING RECORDS,P3,"LOW,MODERATE,HIGH",The organization:,Documentation for specialized training may be maintained by individual supervisors at the option of the organization.,"AT-2,AT-3,PM-14","CCI-000113 The organization documents individual information system security training activities, including basic security awareness training and specific information system security training. CCI-000114 The organization monitors individual information system security training activities, including basic security awareness training and specific information system security training. CCI-001336 The organization retains individual training records for an organization-defined time period. CCI-001337 The organization defines a time period for retaining individual training records."
